
2025/01/07 (08:44:50) | ===> btop++ v.1.4.0
2025/01/07 (08:44:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/17 (00:16:54) | ===> btop++ v.1.4.0
2025/01/17 (00:16:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/17 (00:23:55) | INFO: Logger set to INFO
2025/01/17 (00:23:56) | INFO: Logger set to DEBUG

2025/01/17 (00:30:41) | ===> btop++ v.1.4.0
2025/01/17 (00:30:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/17 (00:31:51) | ===> btop++ v.1.4.0
2025/01/17 (00:31:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/17 (00:31:58) | ===> btop++ v.1.4.0
2025/01/17 (00:31:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/17 (09:58:34) | ===> btop++ v.1.4.0
2025/01/17 (09:58:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/17 (09:58:49) | ===> btop++ v.1.4.0
2025/01/17 (09:58:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/17 (09:59:16) | ===> btop++ v.1.4.0
2025/01/17 (09:59:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/19 (18:24:03) | ===> btop++ v.1.4.0
2025/01/19 (18:24:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/19 (18:24:15) | ERROR: Stall in Runner thread, restarting!

2025/01/19 (18:24:22) | ===> btop++ v.1.4.0
2025/01/19 (18:24:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/28 (18:29:03) | ===> btop++ v.1.4.0
2025/01/28 (18:29:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/28 (18:29:10) | ===> btop++ v.1.4.0
2025/01/28 (18:29:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/31 (11:08:30) | ===> btop++ v.1.4.0
2025/01/31 (11:08:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/01 (22:02:35) | ===> btop++ v.1.4.0
2025/02/01 (22:02:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/08 (18:09:31) | ===> btop++ v.1.4.0
2025/02/08 (18:09:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported
